epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.736,1.43709,2.27024,1.58506,0.54475,0.3983,0.45623,0.26032,1.57104,2.25062,1.85254,0.000550792,0.000550792,0.000550792
2,479.676,1.43395,1.70061,1.55869,0.4735,0.45191,0.46611,0.21789,1.73745,2.5662,2.0675,0.00108455,0.00108455,0.00108455
3,717.322,1.44323,1.64122,1.51256,0.54566,0.49572,0.48672,0.224,1.69558,2.12848,1.78143,0.00159631,0.00159631,0.00159631
4,958.372,1.43294,1.60564,1.528,0.43982,0.61452,0.55715,0.31724,1.47505,1.91731,1.66369,0.00156798,0.00156798,0.00156798
5,1193.56,1.4202,1.47743,1.49726,0.69053,0.65492,0.71553,0.38832,1.48988,1.52405,1.59771,0.00153497,0.00153497,0.00153497
6,1429.28,1.35999,1.38454,1.45372,0.55082,0.47507,0.49317,0.25138,1.63697,2.09441,1.77168,0.00150197,0.00150197,0.00150197
7,1664.14,1.35325,1.31205,1.44538,0.88696,0.59052,0.75721,0.44912,1.40781,1.15906,1.53922,0.00146896,0.00146896,0.00146896
8,1901.66,1.35613,1.30265,1.45676,0.7598,0.63343,0.7382,0.42658,1.48551,1.3346,1.59712,0.00143595,0.00143595,0.00143595
9,2138.24,1.31148,1.25394,1.42381,0.74368,0.64677,0.71308,0.42291,1.35847,1.39064,1.53483,0.00140295,0.00140295,0.00140295
10,2378,1.31639,1.18013,1.41613,0.74061,0.73581,0.77354,0.44645,1.34885,1.16222,1.46619,0.00136994,0.00136994,0.00136994
11,2618.94,1.29195,1.19189,1.39682,0.77886,0.7401,0.79874,0.47278,1.31352,1.06044,1.45457,0.00133693,0.00133693,0.00133693
12,2860.75,1.27969,1.16055,1.39132,0.77223,0.70746,0.77441,0.46998,1.29004,1.09873,1.45702,0.00130393,0.00130393,0.00130393
13,3104.4,1.25874,1.11916,1.38299,0.76755,0.69598,0.78253,0.48586,1.26831,1.04324,1.43612,0.00127092,0.00127092,0.00127092
14,3343.85,1.24426,1.12945,1.38433,0.71164,0.63046,0.69991,0.42069,1.3461,1.2316,1.50556,0.00123791,0.00123791,0.00123791
15,3583.09,1.24755,1.11481,1.38382,0.77521,0.74942,0.80299,0.50594,1.25456,1.00171,1.40765,0.00120491,0.00120491,0.00120491
16,3824.25,1.22133,1.08063,1.36383,0.76404,0.77296,0.79866,0.48644,1.25421,1.09283,1.40723,0.0011719,0.0011719,0.0011719
17,4066.31,1.24845,1.06257,1.36076,0.79284,0.7322,0.8062,0.48743,1.27678,1.00076,1.40999,0.00113889,0.00113889,0.00113889
18,4308.31,1.21106,1.04,1.34445,0.80689,0.68538,0.79065,0.48252,1.27204,1.02021,1.42334,0.00110589,0.00110589,0.00110589
19,4555.89,1.20185,1.05078,1.35207,0.85256,0.66634,0.7985,0.50478,1.23501,1.04033,1.41888,0.00107288,0.00107288,0.00107288
20,4799.01,1.1938,0.99156,1.34174,0.76806,0.75889,0.79449,0.50549,1.23485,0.96361,1.40622,0.00103987,0.00103987,0.00103987
21,5041.62,1.1503,0.98396,1.31991,0.76447,0.72714,0.78794,0.49671,1.23177,0.97223,1.40366,0.00100687,0.00100687,0.00100687
22,5284.28,1.19397,0.99234,1.33459,0.83355,0.73068,0.7966,0.50573,1.20966,0.98908,1.3808,0.000973861,0.000973861,0.000973861
23,5526.8,1.18224,0.96888,1.33873,0.80144,0.7233,0.80821,0.51121,1.23892,0.92931,1.3992,0.000940855,0.000940855,0.000940855
24,5768.81,1.15492,0.95575,1.32927,0.82374,0.73989,0.81162,0.52431,1.1878,0.9025,1.36835,0.000907848,0.000907848,0.000907848
25,6009.68,1.16036,0.94101,1.31703,0.78942,0.7622,0.80991,0.51246,1.22003,0.9106,1.38578,0.000874842,0.000874842,0.000874842
26,6255.72,1.12161,0.93508,1.28169,0.82785,0.75074,0.80987,0.51038,1.23653,0.93957,1.41518,0.000841835,0.000841835,0.000841835
27,6500.1,1.1383,0.90915,1.31865,0.7524,0.75545,0.79375,0.50031,1.21856,0.94837,1.37896,0.000808828,0.000808828,0.000808828
28,6744.66,1.12252,0.90872,1.28781,0.8068,0.74865,0.82335,0.51879,1.22605,0.8893,1.38119,0.000775822,0.000775822,0.000775822
29,6983.57,1.13804,0.92465,1.29576,0.7966,0.76286,0.81684,0.51003,1.22231,0.92692,1.38856,0.000742815,0.000742815,0.000742815
30,7223.62,1.12099,0.88561,1.29332,0.82738,0.71958,0.79683,0.5083,1.20507,0.90763,1.37921,0.000709809,0.000709809,0.000709809
31,7464.69,1.14904,0.90518,1.31261,0.77241,0.76232,0.81565,0.53067,1.19404,0.88402,1.36323,0.000676802,0.000676802,0.000676802
32,7705.74,1.11148,0.87438,1.28456,0.79465,0.77189,0.82372,0.50949,1.24603,0.86827,1.40866,0.000643795,0.000643795,0.000643795
33,7950.49,1.12334,0.9026,1.28464,0.84798,0.72779,0.81139,0.52565,1.22532,0.88886,1.38763,0.000610789,0.000610789,0.000610789
34,8195.04,1.09936,0.86807,1.2825,0.84661,0.73285,0.81766,0.51875,1.21089,0.88756,1.3917,0.000577782,0.000577782,0.000577782
35,8435.33,1.11282,0.85516,1.29017,0.79461,0.73494,0.80491,0.50901,1.22332,0.88741,1.3894,0.000544776,0.000544776,0.000544776
36,8675.2,1.0854,0.83752,1.28183,0.84099,0.72638,0.82366,0.52652,1.18602,0.8429,1.35717,0.000511769,0.000511769,0.000511769
37,8915.27,1.058,0.82436,1.25948,0.84176,0.73588,0.81864,0.52728,1.18058,0.87941,1.35632,0.000478762,0.000478762,0.000478762
38,9155.32,1.07507,0.83455,1.26802,0.84247,0.73835,0.8191,0.53929,1.17293,0.87836,1.35403,0.000445756,0.000445756,0.000445756
39,9395.97,1.0655,0.83118,1.27473,0.79662,0.7568,0.80428,0.52105,1.14944,0.88706,1.33817,0.000412749,0.000412749,0.000412749
40,9635.66,1.06411,0.83045,1.2574,0.8722,0.71415,0.8065,0.5176,1.19201,0.89532,1.37217,0.000379743,0.000379743,0.000379743
41,9877.97,0.94149,0.75489,1.21826,0.76102,0.77154,0.8097,0.53104,1.14273,0.89937,1.33555,0.000346736,0.000346736,0.000346736
42,10120.9,0.93354,0.69099,1.21513,0.82339,0.72794,0.81438,0.53355,1.1421,0.86902,1.32884,0.000313729,0.000313729,0.000313729
43,10364.8,0.92741,0.67455,1.21438,0.81,0.77682,0.82637,0.52928,1.16046,0.84342,1.3509,0.000280723,0.000280723,0.000280723
44,10608.1,0.91245,0.66732,1.20361,0.83463,0.73042,0.81259,0.5312,1.14209,0.87937,1.33029,0.000247716,0.000247716,0.000247716
45,10852,0.89922,0.63791,1.21072,0.82684,0.73891,0.81402,0.53224,1.15261,0.85689,1.3482,0.00021471,0.00021471,0.00021471
46,11107.2,0.89043,0.63506,1.19601,0.83725,0.71011,0.80769,0.52078,1.14927,0.83685,1.34827,0.000181703,0.000181703,0.000181703
47,11499.6,0.88449,0.61338,1.18392,0.83065,0.74519,0.82214,0.53103,1.13807,0.85343,1.34535,0.000148696,0.000148696,0.000148696
48,11765.2,0.8725,0.61577,1.17958,0.82962,0.72867,0.80881,0.52588,1.13449,0.86211,1.33671,0.00011569,0.00011569,0.00011569
